dossier,PDF link,type of study,guideline,absorption profile,total recovery,skin washing,skin,receptor fluid,call washing,radioactivity distribution demonstration,tabulated data,discussion and result,conclusion,source and site of skin,"method of preparation (epidermal membranes (enzymatically, heat or chemically separated); split thickness skin (typically 200-400µm thick); full thickness skin )",storage conditions prior to use,"pre-treatment ( cleaning, antibiotic treatments, etc.)",skin integratity and barrier function,replicates,other test system,composition,solubility of the test substance,flow rate,static,flow-through,"donor chamber (occluded, non-occluded)",pH,solid,liquid,test substance concentration (%),vehicle,purity (%),chemical batch nr,additional info,purity,batch number,specific activity,solubility in receptor fluid,homogeneity and stability,formulation,dose levels,dose level unit,administration scheme,volume,exposed area,duration of exposure,sampling,assay method,extraction technique,limits of detection,analytical method validation,details of removal and washing,SCCS comment to test,year,GLP,klimisch score,Ref. in dossier,additional info,own comment
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vitro,non OECD,"the bioavailable portion (chamber fluid, stripped skin) in hairless rat skin is significantly higher when compared to the skin of mini pigs.",,,"24 hrs after exposure to BMHCA in methylcarbitol: 7.0% (8.35 μg/cm2 ) in the stratum corneum, 61% (73.23 μg/cm2 ) in the stripped skin / 16 hrs after exposure to BMHCA in ethanol: 4.8% (5.81 μg/cm2) in the stratum corneum, 30% (36.05 μg/cm2) in the stripped skin",24 hrs after exposure to BMHCA in methylcarbitol: 5.1% (6.14 μg/cm2) in the chamber fluid / 16 hrs after exposure to BMHCA in ethanol: 20.8% (24.93 μg/cm2) in the chamber fluid. ,,,,,"Based on the dermal absorption studies in vitro, it becomes obvious that skin penetration depends on time and species, but less on the kind of formulation.",rat naked excised skin ,,,,,,,,,,,,,,,yes,1,methylcarbito / ethanol,,,test substance: bmhca,,,,,,dissolved in txo vehicles reaching 120µg/cm2,12,µl/cm2,single dermal,,5,30 sec,"1, 6, 16 and 24h",,,,,,"sccs conclusion on dermal/percutaneous absorption: dermal absorption studies in vitro demonstrated species-specific effects. the bioavailable portion was found much higher in rats (66.1 and 50.8%) when compared to mini pigs (0.8% and 4.9%), thereby depending on the solvent used (methylcarbitol or ethanol). in a second study, applying two real cream formulations (that contained 0.6% bmhca), rat skin again allowed a much higher penetration (45.2% and 78.4%) than mini pig skin (23.6% and 25.7%). nevertheless, the fraction of bioavailable bmhca was found strongly increased in the mini pig experiment when moving from dissolved bmhca to real cream formulations (4.9% vs. 25.7%). concurrently, administration of bmhca onto the skin of experimental animals and humans demonstrated permeation and systemic availability of this compound. percutaneous absorption of bmhca in humans was lower when compared with rats (1.4 vs. 19%). upon dermal application of [14c]-bmhca (11.37 mg test substance in 70% ethanol on 10 cm2 back skin) on 3 human volunteers for 6 hours, a mean of 1.4% (range 0.8 – 2.4%) of the applied dose was excreted in urine within 24 hours, whereas radioactivity was below the detection limit in urine samples of later time points and in all faeces and blood plasma samples. the overall mean total recovery of topical application of [14c]-bmhca was 71 ± 10%. in comparison to the in vitro observations, the absorption rate found in humans for ethanolic solutions of bmhca was comparable to what has been found in excised mini pig skin. given that the absorption of bmhca in mini pig skin was much higher when this compound was applied via real cream formulations, it is reasonable to conclude that bmhca might also better penetrate human skin when it is applied in cream formulations. since there is no further experimental data on this subject, the sccs concludes that the maximum fraction of bmhca being absorbed by human skin might be in the range of 25% rather than at 2.4%. in consideration of the comparability of pig skin with human skin, the dermal bioavailability of ethanolic (dissolved) bmhca to be used in the calculation of the systemic exposure dose (sed) and margin of safety (mos) will be set at 5% (worst case scenario based on 1% bmhca in etoh applied at 120 μg substance/cm2 onto 5 cm2 excised mini pig skin; result: total of 5.87 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). on the other hand, the penetration rate of bmhca applied onto the skin as ingredient of creamy formulations will be set at 25% (worst case scenario based on 36 μg substance/cm2 applied onto 5 cm2 excised mini pig skin; mean out of two experiments: total of 8.88 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). the sccs is aware of the issue that the exact identity of the cream formulations applied in the latter study remains obscure. the results obtained from the part of the study with 1% ethanolic bmhca can further be used to assess the sed for hydroalcoholic products to be applied on a defined surface area of shaved or unshaved skin once daily (1 x 305 cm2/day). here, an absorption of about 6 μg substance/cm2 can be assumed for unshaved skin (stratum corneum intact). for shaved skin (stratum corneum compromised), however, the total absorption would be 11 μg substance/cm2 (with the addition of the portion of 4.66 μg/cm2 that was found sticking in the stratum corneum in the respective experiment; cf. above). ",,,,"Roche 1982d, RIFM#56763",2 vehicles are tested,
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vitro,non OECD,the penetration rates using the mini pig skin samples were lower than the naked rat skin,,,16 hours: 17.5/19.1% (6.30/6.89 μg/cm2 ) in the remaining skin,16 hours: 6.1/6.6% (2.19/2.38 μg/cm2 ) in the chamber fluid,,,"detailed data of skin surface, horny layer, remaining skin and chamber fluid at 1h, 6h and 16 in both cream A and cream B in both species",,"Based on the dermal absorption studies in vitro, it becomes obvious that skin penetration depends on time and species, but less on the kind of formulation.",mini pig excised skin ,,,,,,,,,,,,,,,,0.6,,,,test substance: bmhca,,,,,,"""cream 02_TD2=A”, and “cream 04_TD1=B” with “bases” that may have been used include: vaseline, hydrated wool-wax-alcohol ointment, hydrated hydrophilic ointment, polyethylene glycol ointment, and other “suitable” vehicles",6,mg/cm2 (36 μg/cm2 active substance),,,5,,,,,,,,"sccs conclusion on dermal/percutaneous absorption: dermal absorption studies in vitro demonstrated species-specific effects. the bioavailable portion was found much higher in rats (66.1 and 50.8%) when compared to mini pigs (0.8% and 4.9%), thereby depending on the solvent used (methylcarbitol or ethanol). in a second study, applying two real cream formulations (that contained 0.6% bmhca), rat skin again allowed a much higher penetration (45.2% and 78.4%) than mini pig skin (23.6% and 25.7%). nevertheless, the fraction of bioavailable bmhca was found strongly increased in the mini pig experiment when moving from dissolved bmhca to real cream formulations (4.9% vs. 25.7%). concurrently, administration of bmhca onto the skin of experimental animals and humans demonstrated permeation and systemic availability of this compound. percutaneous absorption of bmhca in humans was lower when compared with rats (1.4 vs. 19%). upon dermal application of [14c]-bmhca (11.37 mg test substance in 70% ethanol on 10 cm2 back skin) on 3 human volunteers for 6 hours, a mean of 1.4% (range 0.8 – 2.4%) of the applied dose was excreted in urine within 24 hours, whereas radioactivity was below the detection limit in urine samples of later time points and in all faeces and blood plasma samples. the overall mean total recovery of topical application of [14c]-bmhca was 71 ± 10%. in comparison to the in vitro observations, the absorption rate found in humans for ethanolic solutions of bmhca was comparable to what has been found in excised mini pig skin. given that the absorption of bmhca in mini pig skin was much higher when this compound was applied via real cream formulations, it is reasonable to conclude that bmhca might also better penetrate human skin when it is applied in cream formulations. since there is no further experimental data on this subject, the sccs concludes that the maximum fraction of bmhca being absorbed by human skin might be in the range of 25% rather than at 2.4%. in consideration of the comparability of pig skin with human skin, the dermal bioavailability of ethanolic (dissolved) bmhca to be used in the calculation of the systemic exposure dose (sed) and margin of safety (mos) will be set at 5% (worst case scenario based on 1% bmhca in etoh applied at 120 μg substance/cm2 onto 5 cm2 excised mini pig skin; result: total of 5.87 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). on the other hand, the penetration rate of bmhca applied onto the skin as ingredient of creamy formulations will be set at 25% (worst case scenario based on 36 μg substance/cm2 applied onto 5 cm2 excised mini pig skin; mean out of two experiments: total of 8.88 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). the sccs is aware of the issue that the exact identity of the cream formulations applied in the latter study remains obscure. the results obtained from the part of the study with 1% ethanolic bmhca can further be used to assess the sed for hydroalcoholic products to be applied on a defined surface area of shaved or unshaved skin once daily (1 x 305 cm2/day). here, an absorption of about 6 μg substance/cm2 can be assumed for unshaved skin (stratum corneum intact). for shaved skin (stratum corneum compromised), however, the total absorption would be 11 μg substance/cm2 (with the addition of the portion of 4.66 μg/cm2 that was found sticking in the stratum corneum in the respective experiment; cf. above). ",,,,"Roche 1986c, RIFM#56764",2 creme formulation ,
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vitro,non OECD,"the penetration rates using the mini pig skin samples were lower than the naked rat skin. the fraction that might become bioavailable was 23.6 and 25.7%, respectively in creame A and cream B (mean for both kinds of cream formulations: 25%). ",,,"16 hrs after exposure to BMHCA in cream A/cream B: 2.6/2.1% (0.93/0.74 μg/cm2 ) in the stratum corneum, 21.6/39.5% (7.79/14.22 μg/cm2 ) in the remaining skin",16 hrs after exposure to BMHCA in cream A/cream B: 23.6/38.9% (8.49/14.01 μg/cm2) in the chamber fluid. ,,,"detailed data of skin surface, horny layer, remaining skin and chamber fluid at 1h, 6h and 16 in both cream A and cream B in both species",,"Based on the dermal absorption studies in vitro, it becomes obvious that skin penetration depends on time and species, but less on the kind of formulation.",rat naked excised skin ,,,,,,,,,,,,,,,,0.6,,,,test substance: bmhca,,,,,,"""cream 02_TD2=A”, and “cream 04_TD1=B” with “bases” that may have been used include: vaseline, hydrated wool-wax-alcohol ointment, hydrated hydrophilic ointment, polyethylene glycol ointment, and other “suitable” vehicles",6,mg/cm2 (36 μg/cm2 active substance),,,5,,,,,,,,"sccs conclusion on dermal/percutaneous absorption: dermal absorption studies in vitro demonstrated species-specific effects. the bioavailable portion was found much higher in rats (66.1 and 50.8%) when compared to mini pigs (0.8% and 4.9%), thereby depending on the solvent used (methylcarbitol or ethanol). in a second study, applying two real cream formulations (that contained 0.6% bmhca), rat skin again allowed a much higher penetration (45.2% and 78.4%) than mini pig skin (23.6% and 25.7%). nevertheless, the fraction of bioavailable bmhca was found strongly increased in the mini pig experiment when moving from dissolved bmhca to real cream formulations (4.9% vs. 25.7%). concurrently, administration of bmhca onto the skin of experimental animals and humans demonstrated permeation and systemic availability of this compound. percutaneous absorption of bmhca in humans was lower when compared with rats (1.4 vs. 19%). upon dermal application of [14c]-bmhca (11.37 mg test substance in 70% ethanol on 10 cm2 back skin) on 3 human volunteers for 6 hours, a mean of 1.4% (range 0.8 – 2.4%) of the applied dose was excreted in urine within 24 hours, whereas radioactivity was below the detection limit in urine samples of later time points and in all faeces and blood plasma samples. the overall mean total recovery of topical application of [14c]-bmhca was 71 ± 10%. in comparison to the in vitro observations, the absorption rate found in humans for ethanolic solutions of bmhca was comparable to what has been found in excised mini pig skin. given that the absorption of bmhca in mini pig skin was much higher when this compound was applied via real cream formulations, it is reasonable to conclude that bmhca might also better penetrate human skin when it is applied in cream formulations. since there is no further experimental data on this subject, the sccs concludes that the maximum fraction of bmhca being absorbed by human skin might be in the range of 25% rather than at 2.4%. in consideration of the comparability of pig skin with human skin, the dermal bioavailability of ethanolic (dissolved) bmhca to be used in the calculation of the systemic exposure dose (sed) and margin of safety (mos) will be set at 5% (worst case scenario based on 1% bmhca in etoh applied at 120 μg substance/cm2 onto 5 cm2 excised mini pig skin; result: total of 5.87 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). on the other hand, the penetration rate of bmhca applied onto the skin as ingredient of creamy formulations will be set at 25% (worst case scenario based on 36 μg substance/cm2 applied onto 5 cm2 excised mini pig skin; mean out of two experiments: total of 8.88 μg substance/cm2 found in stripped skin and chamber fluid after 16 hrs of exposure). the sccs is aware of the issue that the exact identity of the cream formulations applied in the latter study remains obscure. the results obtained from the part of the study with 1% ethanolic bmhca can further be used to assess the sed for hydroalcoholic products to be applied on a defined surface area of shaved or unshaved skin once daily (1 x 305 cm2/day). here, an absorption of about 6 μg substance/cm2 can be assumed for unshaved skin (stratum corneum intact). for shaved skin (stratum corneum compromised), however, the total absorption would be 11 μg substance/cm2 (with the addition of the portion of 4.66 μg/cm2 that was found sticking in the stratum corneum in the respective experiment; cf. above). ",,,,"Roche 1986c, RIFM#56764",2 creme formulation ,
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vitro,non OECD,,,,,,,,,"[14C]-BMHCA was intensively converted into 9 main metabolites by microsomes (8 by hepatocytes). All metabolites separated by HPLC were more hydrophilic than the parent compound. Metabolism can be summarised as follows (according to CLH report, BASF 2013): In liver microsomes, oxidation or reduction of BMHCA to the corresponding acid (lysmerylic acid, M7) or alcohol (lysmersol, M9), the latter being further oxidised at its tert-butyl group (to yield M3), was observed. In hepatocytes, as dehydrogenation follow-up product of M7 (E)-3-(4-t-butyl-phenyl)-2-methyl-acrylic acid (M16) was observed. Further, p-t-butylbenzoic acid (TBBA, M15) and its glycine conjugate (p-t-butyl-hippuric acid; TBHA, M12) occurred in rodents. In addition to these metabolites, glucuronic acid conjugates of M3, M7, M9 and M16 were detected. Lysmerylic acid (M7) was the main metabolite in hepatocytes of all species. Significant species differences in metabolic profiles were noted for TBHA (M12; 4.9 – 27.1% in mice, 3.5 – 3.6% in rats, not in rabbits or humans) and TBBA (M15). Among the species tested, rat hepatocytes formed the highest amounts of TBBA (M15; 8.3 – 29.3% in rats, 1.9 – 7.5% in humans, ≤0.5% in mice, ≤2.0% in rabbits).",,Liver microsomes and hepatocytes from rat / Han-Wistar; mouse / CD-1; rabbit/ New Zealand white; human ,only male,,,,,,,,,,,,,,,,,,,"test substance: [14C]-BMHCA, Note: The highest concentration is equal to plasma levels occurring after orally applied BMHCA doses that were shown to induce testicular toxicity.",,,,,,,"10, 50, 100 ",µM,,,,,,HPLC & LC/MS,,,,,"Quantitative data on the toxicokinetics of BMHCA are available from rat, mouse, rabbit, guinea pig, dog and rhesus monkey and human studies. Given its physicochemical properties, BMHCA is likely to have high bioavailability via the oral route. After oral and dermal administration to experimental animals and humans (cf. section 3.3.4.2.), there is clear evidence of systemic absorption of BMHCA. However, in humans compared to rats, only limited percutaneous absorption of BMHCA (in EtOH) could be observed in vivo (1.4% vs. 19%). Species-specific differences in the metabolism of BMHCA have been identified both in vitro and in vivo. Lysmerylic acid was the main hepatic metabolite in all species tested. Quantitative evaluation of metabolic profiles for different species in an in vitro metabolism study demonstrated much higher levels of TBBA formation by rat hepatocytes when compared to other species. In particular, TBBA levels observed in human hepatocytes were about 4-fold lower compared to rat hepatocytes at corresponding concentrations. Comparative assessment of the urinary metabolites in different animal species again uncovered differences in the urinary excretion of TBBA (and TBHA), with rats being the species that predominantly forms TBBA. However, the differences observed between rats and monkeys did not mirror the 4-fold difference in TBBA formation as seen with rat and human liver microsomes in vitro.",2010,yes,,BASF SE 2010,"investigative comparative in vitro metabolism study applying liver microsomes or hepatocytes from rats, mice, rabbits, and humans, respectively. Positive control incubations were carried out with testosterone (200 μM). ",
"1,2,4-trihydroxybenzene ",https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_222.pdf,in vitro,non OECD,0.03% of the applied dose or 0.17 μg/cm2.,,,,,,,,,"From Submission V:  The dose was slightly below that requested for use (3%)  and stability in the receptor was not quantified. Therefore, the amount considered as being absorbed is the mean + 2SD. This is 0.03% of the applied dose or 0.17 μg/cm2. ",,,,,,,,,,,,,,,,,2.78,,,,"test substance: 1,2,4- trihydroxybenzene ",,,,,,direct dye formulation,,,,,,,,,,,,,,,,,,,
"Vitamin A (Retinol, Retinyl Acetate and Retinyl Palmitate)",https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_199.pdf,in vitro,non OECD,,,,,,,,,,,"human, abdominal skin from 2donors",Freshly biopsied human skin from abdominal surgery (split thickness skin layer: 200–320 μm),,,,3,,,,,,flow-through diffusion cells,,,,,,,>99,,test substance: retinol,,,,,,,,,,,,,,,,,,,,,no,"the number of donors used in this study is not in accordance with the SCCS notes of guidance. membrane integrity of the rat skin has not been checked prior to the experiment. as this study concerns a scientific paper, not all raw data is available to SCCS. only mean values are presented for the systemically available amount. standard errors are reported instead of standard deviations. ",168,"a clear species' difference exists with a much higher in vitro dermal absorption of [3H]- retinol observed in rat versus human skin. no vehicle effect is observed. these results are in contrast to dermal absorption in human skin, where a lower proportion of [3 H]-retinol was found in the viable skin compared to rats. ",
,,in vitro,non OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,"the number of donors used in this study is not in accordance with the SCCS  notes of guidance. as this study concerns a scientific paper, not all raw data is available to SCCS. only mean values are presented for the systemically-available amount. standard errors are reported instead of standard deviations.",168,"a clear species' difference exists with a much higher in vitro dermal absorption of [3H]- retinol observed in rat versus human skin. no vehicle effect is observed. these results are in contrast to dermal absorption in human skin, where a lower proportion of [3 H]-retinol was found in the viable skin compared to rats. ",
,,in vitro,non OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,yes ,"the number of donors and study duration were not in accordance to the SCCS notes of guidance. membrane integrity of the human skin was not checked prior to the experiment. the composition of the nanocapsules was not provided to the SCCS. only mean values were
presented for the systemically available amount. standard errors were reported instead of standard deviations. no effect of the nanocapsules was observed. ",98,,
,,in vitro,non OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,yes ,the number of samples and study duration are not in accordance with the SCCS notes of guidance. membrane integrity of the human skin was not checked. no effect of lipase was observed.the stratum corneum was not separated from the viable epidermis by tape stripping. the bioavailable amount reported is considered to be an underestimation as the portion present in the viable epidermis was not taken into account. ,"97, 102",,
,,in vitro,non OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,no,"the number of donors and replicates used in this study is not known. the exposure time (6 and 16 hours) is not in accordance with the SCCS notes of guidance. membrane integrity of the rat and porcine skin were not checked prior to the experiment. the composition of the tested cream formulations was not provided to the SCCS. only mean values were presented, no standard deviations. retinyl palmitate does not dissolve in the receptor fluid used and therefore the results of this study are not considered valid. a further study which did not meet current testing and assessment requirements predominantly due to an insufficient recovery rate was carried out with retinyl palmitate in vitro on porcine skin, using an O/W preparation with content of 0.7% retinyl palmitate. the influence of different vehicles was additionally investigated. freshly dermatomed porcine skin was put on the glass diffusion cells. a total amount of 20 mg/5 cm² (4 mg/cm²) cream was applied corresponding to a retinyl palmitate concentration of 140 μg/5 cm² or 35 μg/cm². the application areas were covered to avoid impairment from light. after an exposure time of 24 hours, the remaining test preparations were removed from the skin surface. the receptor fluid was taken of the cell and the SC was removed by 15–20 tape strippings. the epidermis was separated from the dermis after heating. analysis was performed by HPLC. the total recovery ranged between about 70 – 80% irrespectively of the vehicle used. however, the usage of aqueous vehicles led to about twice the rate of absorption than oily vehicles. the authors assumed that the observed loss may be due to oxidative metabolism or due to influence of light during further processing of the skin samples. the topical application for 24 hours showed that 96-100% of the retinyl palmitate that was absorbed (10-20%) was limited to the SC and in this skin compartment, it could only be detected in the upper 6–8 strips of the horny layer. minor amounts <1% were found in the epidermis. penetration into the receptor fluid was not observed. SCCS agrees with the applicant that this study cannot be used in safety assessments. ","127, 21",,
Boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vitro,non OECD,0.41%; 0.19% absorbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test substance: borax; DOT(disodium octaborate tetrahydrate),,,,,,,"5, 10",%,,1.0 mL,,,,,,,,,"No dermal absorption studies have been performed according to modern guidelines. During Meetings of the Commission Working Group on the Classification and Labelling of Dangerous Substances it has been stated several times that human skin absorption is less than 0.3%, but may be higher in damaged skin. In the SCCNFP Opinion concerning boric acid, borates and tetraborates adopted 23 September 1998 (SCCNFP/0024/98) the percutaneous absorption was considered to be about 0.2%. The SCCS considers that the available measurements of dermal absorption have a significant degree of uncertainty. Therefore an absorption of 0.5% will be used in the safety evaluation for the boric compounds discussed in this Opinion (representing the absorption of boric acid + 2 x SD [0.23 + 2 x 0.13%] from the study of Wester et al., 1998). This is in agreement with other recent risk assessment of borates in EU (EU, 2009a, ECHA, 2010). It should be noted that skin absorption is probably higher in case of damaged skin. The dermal absorption of disodium octaborate tetrahydrate was slightly lower than that for the other boron compounds, however the octaborate was applied at a higher concentration, and the percentage of absorption would probably be higher if lower concentrations had been used. Absorption for oral and inhalation routes are assumed to be 100% (ECHA, 2010)",1998,no,,Wester et al. ,two substances were tested. ,
