dossier,PDF link,type of study,guideline,amount and rate of absorption,tabular and/or graphical data,"the pattern of distibution among tissues, organs and fluid compartments",tabular and/or graphical data,the pattern and the rates of metabolism,identified metabolites,tabular and/or graphical data,"the rates of excretion (the amount of test substance and/or metabolites in excreta (urine, bile, faeces, exhaled air, carcass)",urine,faeces,expired air,bile,other (milk),comparison of the amount of dose excreted renally,tabular and/or graphical data,irreversible binding with tissue or macromolecules,effects on metabolising enzyme system,depletion of endogenous non-protein sulfhydryl compounds e.g. Glutathione,C max,T max,AUC,half-life time absorption,half-life time depletion,exposure other,statistical variation,comparison of biological response ( repeated vs.acute toxicity),in vitro study,conclusion,species/strain,source,age at start of experiment,"age unit (day, week, month, year)",weight,weight unit,"sex ( female, male)",feeding and housing,n subject/ group,homogeneity and stability,pH,solid,liquid,gas,"particle size, shape and density distribution",concentration (%),composition,purity (%),chemical batch nr,additional info,labeled purity ,batch number,specific activity,dose levels,dose level unit,volume,administration scheme,intraveneous,gavage,diet,surface,technic,"adminstration nose, head-only",whole-body,route of administration other,samples,timing of the study/sampling,vehicle name,vehicle concentration,SCCS comment to test,year,GLP,klimisch score,Ref. in dossier,additional info,own comment
basic red 51,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_067.pdf,in vivo,OECD 417,"the test item was rapidly absorbed from the gastrointestinal tract. the auc was 14.12 µg h/g. in the femur, the highest concentration of radioactivity 4.23 ppm (µg red (mip 2985) equivalents/g) was found 1 h after dosing. by 24 h post-dosing the concentration in femur decreased to 0.228 ppm. the depletion kinetics in the femur was similar to that seen in the plasma, with an initial half-life of 1.3 h and a depletion half-life of 10 h. it was assumed that the bone marrow of the femur was the main site of radioactivity",,"in plasma, the highest concentration of radioactivity 2.016 ppm (µg red (mip 2985) equivalents/g) was found 0.5 h after dosing. after reaching the maximum, the concentration in plasma decreased rapidly with an initial half-life of 1.3 h (initial phase, 1-2 h). between 4 and 24 h after dosing, a second, slower depletion phase (2-24 h) was seen with a depletion half-life of 8 hours. by 24 hours, the plasma concentration had decreased to 0.117 ppm. the auc was 14.12 µg h/g",,,,,,,,,,,,,,,,2.016 ppm,0.5h,14.12 µg h/g,,"first t1/2 : 3h, second t1/2 : 8h",,c 24h: 0.117ppm,,,,"mouse/ hybrid, nmri, spf-quality",,,,,,f,,15,,,,,,,,containing 4% inorganic salts,95.9% ,21187fc3,"test substance: vibracolor red (mip 2985), ",98.15% ,"3501-069 (2072 MBq/mmol, 56 mCi/mmol)","radiolabelled vibracolor® red (mip 2985) final specific radioactivity of 846 kBq/mg (22.86 µCi/mg),",33,"mg/kg bw, based on a target volume of 0.5 ml per 100 g body weight.",,single dose,,yes,,,,,,,blood and femurs,"0.5, 1, 2, 4, and 24h",water (milliq),,,2004,yes,,"4, submission 2",radioactivity was measured by liquid scintillation of plasma and both femurs of each animal. ,
basic red 51,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_067.pdf,in vivo,OECD 417,"red (mip 2985) was rapidly and almost completely absorbed from the gastrointestinal tract. the apparent extent of absorption, based essentially on the amount renally excreted, was calculated to at least 62 % of the dose. there appeared to be some bilary recirculation. rapidly and almost completely absorbed after oral dosing. the systemically absorbed test substance was metabolized and eliminated with urine and faeces",,"the maximum concentration (c max) in blood and plasma was reached within 1 hour after administration accounting to 3.933 ppm and 4.785 ppm red (mip 2985 equivalents), respectively. a second lower maximum in blood and plasma was observed 6 hours postdosing. after reaching the second maximum, blood and plasma showed a biphasic depletion half-life of 15 and 9 h for the initial phase and 206 and 40 h for the second slower phase, respectively. the oral dose was rapidly eliminated. the highest residue levels in tissues and organs were observed 24 hours post-dosing in the kidney (5.3643 ppm) and liver (4.0287 ppm), with low levels in fat (0.3267 ppm). the depletion kinetics in tissues and organs was similar to that seen in blood and plasma. the initial half-life was calculated to be in the range of 11-17 hours followed by a second slower phase with half life of 29-56 hours.",,"two major metabolites, 1,3-dimethyl-imidazole-2-amine (about 50 % of the dose) and 1,4- diacetoaminobenzene (about 20% of the dose) and 6 minor metabolites were seen in urine and faeces. due to the structure of the identified metabolites, the metabolic pathway suggested that the 1,3- dimethyl-imidazole-2-amine was a cleavage product of red (mip 2985) and that the 1,4- diacetoaminobenzene was the di-acetylation product of red (mip 2985) after demethylation of the (4-dimethylamino)phenyl site and cleavage of the azo bond","1,3-dimethyl-imidazole-2-amine; 1,4- diacetoaminobenzene",,"within 24 hours, 74 % of the dose was totally excreted, (53 % in urine, 17 % in the faeces and 4 % collected in the cage wash). by 96 days post-dosing, 93 % of the dose was eliminated. only 0.5 % of the dose is still remaining in tissues and carcass",,unchanged red (mip 2985) (1.5 % of the dose) was found in the faeces.,,,,,,,,,"c max blood:3.933 ppm, c max plasma:  4.785 ppm","t max: 1h, second t max: 6h",,"first t1/2 absoprtion:11-17h, second t1/2 absorption: 29-56h","first depltion t1/2 blood:15h, first depletion t1/2 plasma:9h, second depletion t1/2 blood:206h, second depletion t1/2 plasma:40h",,,,,,rat/wistar hanbrl:wist (spf): outbred,,,,,,f,,9,,,,,,,,,95.9%,21187fc3,,98.15%,3501-069 (2072 MBq/mmol; 56 mCi/mmol),[14C] labelled red (mip 2985) with a final specific radioactivity of 204 kBq/mg (5.5 µCi/mg),50,mg/kg bw,,single dose,,yes,,,,,,,"blood, urine, faeces and cagewash","0.5, 1, 2 4, 6, 8h (blood); 24, 48 and 96h (terminal blood); 0-24, 24-48, 48–72, and 72-96 h (urine and faeces).",water,,,2005,yes,,"5, submission 2",,
basic red 51,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_067.pdf,in vivo,OECD 417,"after 30 min dermal exposure to [14C] red (mip 2985), only 1.29% of the applied dose was systemically absorbed; ",,"93-94% of the dose could be dislodged from the application site. after the skin washing, 2% of the dose remained in/on the treated skin area. the remaining radioactivity in/on the application site was found in the stratum corneum. less than 0.01% of the dose was determined in the dermis and subcutis. the quantity of test substance in the stratum corneum was virtually constant throughout the 96 h study period, indicating low penetration into deeper skin layers. ",,,,,the systemically absorbed test substance was rapidly excreted with the urine (1.08 %) and the faeces (0.14%).,1.08%,0.14%,,,,,,,,,,,,,,,,,,,"rat, wistar HanBrl:WIST (SPF): outbred",,,,,,f,,8,,7.7,"yes, the highest achievable water solubility of the test material used as the applied dose",,,,,,95.9%,21187fc3,,98.15%,3501-069 ( 2072 MBq/mmol; 56 mCi/mmol),241 kBq/mg (6.52 µCi/mg),0.2 ,mg/cm²,,single,,,,yes,30 minutes exposure followed by washing and tape tripping,,,,"tape stripped skin(stratum corneum), skin wash, urine, faeces",24 and 96h,water,,,2005,yes,,"5, submission 2",,
hc blue n° 15,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_089.pdf,in vivo,OECD 417,"oral absorption was calculated in 2 ways - from the urinary data and the plasma data. with the urinary data, the fractional absorption was calculated by dividing the percentage of radioactivity recovered in the urine after oral administration by the percentage of radioactivity recovered in the urine after intravenous administration. for the plasma data absorption was calculated by dividing the dose-normalized area under the curve (auc) after oral administration by the auc after intravenous administration. calculation of the fractional oral absorption from the urine data assumed that the ratio of excreted urinary radioactivity to systemically available radioactivity is constant for both oral and intravenous routes. for the high oral dose group. an average oral absorption of 34% was seen when calculated from the urine data and 33% when calculated from the plasma data, showing comparability between both oral and intravenous routes. for the low oral dose group, an average oral absorption of 62% was observed when calculated from the urine data and 35% when calculated with the plasma data. since urinary excretion tends to be low, calculations based on plasma data were assumed to be more precise.",,"by the end of the study, the average total remaining radioactivity in carcass and tissues was between 0.7 and 3% of the administered dose in all intravenous and oral groups, indicating no major accumulation of radioactivity after 96 hours. however, in some tissues, abdominal fat, adrenals, liver and kidney, the residual concentrations of hc blue n° 15 (wr 18043) equivalents were much higher than the concentrations observed in blood or carcass. ",,the relative high levels in kidney and liver reflect the extensive metabolism and excretion of the test substance.,"four potential metabolite peaks of hc blue n° 15 (wr 18043) were detected in faeces extracts and urine samples. it seemed that these were the result of hydroxylation, carboxylation and/or reduction by phase I metabolic enzymes. hydroxylation was the most important. no parent compound was detected in the faeces. ",,"faecal excretion was the most important route of 14hc blue n° 15 (wr 18043) in all treated groups. it suggests that when absorbed, that biliary excretion of hc blue n° 15 (wr 18043) is important. urinary excretion was less important. the rate of urinary excretion was similar for the intravenous and oral groups with the bulk of radioactivity excreted during the first 48h","1.9% after intravenous dosing, 1.2% after low oral dosing. 0.6% after high oral dosing. ","94% after intravenous dosing, 102% after low oral dosing, 95% after high oral dosing).",,,,,,,,,,6-8h (the plasma data indicated that oral absorption was moderately slow with Tmax values of 6-8 hours.),,,"apparent terminal half-lives were also similar, 29 and 20 h respectively in the low and high oral dose groups and after intravenous administration (17 hours).","plasma concentration versus time curves of hc blue n° 15 (wr 18043) equivalents after oral dosing were similar, with similar Tmax values and dose-normalised Cmax and auc of similar order of magnitude, suggesting linear kinetics over the dose range investigated",,,,"dermal penetration of 14C_hc blue n° 15 (wr 18043) was very low. 14C_hc blue n° 15 (wr 18043) administered orally was moderately absorbed. the absorbed hc blue n° 15 (wr 18043) was metabolized in the liver, with excretion via bile into faeces the main route, with slower elimination after dermal application. no parent compound was found in the faecal extracts. four potential metabolite peaks of hc blue n° 15 (wr 18043) were detected. hydroxylation, carboxylation and/or reduction by phase I metabolic enzymes occurred. ",rats / wistar crl: (wi) br (outbred),,,,,,,yes,6,,,,,,,,,38.5 ,bb77-020420,test substance: 14C-labelled hc blue n° 15 (wr18403); hc blue n° 15 (wr18403) ,98,labelled cfq13944 batch 1,,"4, 4, 40","intravenous mg/kg bw, oral mg/kg bw, oral mg/kg bw",,,yes,yes,,,dermal exposure for 30 minutes,,,,"urine and faeces were collected over 0-8, 8-24, 24-48. 48-72 and 72· 96 h and the animals were killed 96 hours postdosing (adme study). blood sampled from selected rats at 0.25, 0.5, 1, 2. 4. 6, 8, 24. 48 and 72 hour post-dosing (toxicokinetics)","oral and intravenous 72h, dermal 168h","oral: 5.8% w/w propylene glycol, 4.7% w/w plantaren 2000 up (cognis trade name =50%aqueous decyl glucoside), 89.5% w/w milli-U water; intravenous: 0.05M phosphate buffer, ph 7.6; propylene glycol; ethanol 80:10:10(w/w/w)",,,2005,yes,,25,"based on an oral 28 d study, the intravenous dose and low oral dose were selected on the noael of 4 mg/kg bw and the 10-fold higher oral dose based on increased liver weight and centrilobular hypertrophy. the selected dermal application level was higher than that for normal usage, but was chosen for comparison of the bioavailability with the other administration routes. no moribound animal.",the number animal per group is mentioned 6 but the given information indicates only 4 animals
basic orange 31,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_082.pdf,in vivo,OECD 417,the test substance was rapidly absorbed from the gastro- intestinal tract into the systemic circulation.,,,,,,,,,,,,,,,,,,15.113µg eq/g,0.5h,55.7 μg x h/g,,4.9h,"the plasma concentration decreased rapidly and by 4 hours post-dosing was 2.463 μg eq/g. within 24 hours post-dosing, the plasma concentration was 0.199 μg eq/g. in femur, the maximum concentration was 7.667 μg eq/g after 0.5 hours post-dosing. the concentration in femur decreased rapidly to 3.084 μg eq/g by 4 hours and 0.809 μg eq/g at 24 hours post-dosing.",,,,"the study authors assumed that the radioactivity in femur was found mainly in bone marrow. the kinetics was similar between plasma and the femur but there was a slower elimination rate in the femur, calculated to be an elimination half-life of 8.9 hours.","mouse/ hybrid, nmri, spf-quality",,,,,,f,,15,,,,,,,,,94.6,028407a2,test substance: orange (mip 3100),>97,3496175,1295 MBq/mmol; 35 mCi/mmol,100,mg/kh bw,,single,,yes,,,,,,,,"at post-dosing intervals of 0.5, 1, 2, 4, and 24 hours, three animals were killed and the concentration of radioactivity in plasma and femur determined.",purified water ,,,2004,yes,,"3, subm. 2",bioavailability study after oral administration ,
basic orange 31,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_082.pdf,in vivo,OECD 417,dermal exposure: systemic absorption was 0.11% and dislodged dose was 91.69%.,,"oral exposure: residual radioactivity in total organs/tissues at 96 hours post-dosing was 0.45%. By 96 hours after the oral dose, radioactivity in organs/tissues was low. the highest levels were in the liver (0.240 μg eq/g) and kidney (0.147 μg eqlg). all other values were below 0.1 μg eq/g. dermal exposure: residual radioactivity in total organs/tissues after 96 hours was 0.06%. very low levels of radioactivity were measured in blood and plasma. at 96 hours after dermal administration radioactivity levels in organs/tissues were very low. organs/tissues with the highest amounts were treated skin (0.055 μg eq/g), untreated skin (0.069 μg eq/g) and fat (0.014 μg eq/g)",,"oral exposure: urine and faeces were collected up to 24h and from 24 - 48h. in urine collected up to 24h, in addition to low levels of the parent substance (0.31%), major metabolites were 1,4- diacetoaminobenzene (daab) and 1,3-dimethyl-imidazole-2- amine (dmia), occurring in amounts of 15.07% and 22.70%, respectively. seven other radioactive fractions were detected ranging from 0.21% to 0.97%. in urine collected from 24 - 48h, no parent compound was detected, major metabolites were 1,4-diacetoaminobenzene (daab) and 1,3-dimethyl-imidazole-2- amine (dmia), respectively occurring in amounts of 0.63% and 2.33%. seven other radioactive fractions were detected ranging from 0.07% to 0.53%. in faeces, collected up to 24h, in addition to low levels of the parent substance (1.59%), 13 radioactive fractions were found. the main metabolite was 1,3-dimethyl-imidazole-2-amine, (10.03% of the radioactivity administered). all other radioactive fractions were detected in low amounts ranging from 0.11-2.11% of the radioactivity administered. from the 24-48 h faeces, the radioactivity detected had decreased, the parent substance to 0.17%, the main metabolite, 1,3-dimethyl-imidazole-2-amine, to 1.65% and all other radioactive fractions to 0.03-0.53%.","oral exposure: 1,4- diacetoaminobenzene (DAAB) and 1,3-dimethyl-imidazole-2- amine (DMIA),",,"oral exposure: the radioactivity excreted over 96 hours in urine and faeces represented 55.60% and 32.73%, respectively, of the radioactive dose. when the cage wash (1.07%) was included, the total excreted was 90.40%. the total recovery of radioactivity was ~ 90.85%. dermal exposure: radioactivity excretion, over 96 hours via urine and faeces, represented on average 0.03% each. on average, the total recovery of radioactivity amounted to 94.92%. total radioactivity in residual carcass amounted to 0.063 μg eq/g.",oral exspoure: 55.60%,oral exposure: 32.73%,,,,,,,,,oral exposure in plasma: 3.104µg eq/g. dermal exposure: 0.014µg eq/g,oral exposure in plasma: 1h. dermal exposure in plasma: 6h,oral exposure in plasma: 27.2 µg*h/ml,,"oral exposure in plasma: 6.9h, in blood: 10.6h longer than in plasma suggesting that binding of the test substance and/or its metabolites to whole blood components occurs.",,,,,"in conclusion, 96 hours after a single oral dose of 14c-orange (mip 3100), excretion of radioactivity was almost complete. approximately 2/3 of the orally administered radioactivity was excreted via urine. Residual radioactivity in organs/tissues was very low.","rat / hanbrl:wist (spf): wistar, outbred, spf-quality",,,,,,f,,17,,,,,,,,,94.6,028407a2,test substance: orange (mip 3100),>97,3496175,1295 MBq/mmol; 35 mCi/mmol,"0.2, 20","dermal exposure mg/cm2, oral exposure mg/kg bw",,,,yes,,yes,30minutes exposure,,,,,,purified water ,,,2004,yes,,"4, subm. 2","adme after oral and dermal administration. oral exposre: 9 animals, dermal exposure: 8 animals",
basic yellow 87,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_081.pdf,in vivo,OECD 417,"b117 was rapidly absorbed from the gastro intestinal tract and the maximum concentration in plasma was observed 0.5 hours after exposure and corresponded to 4.823 ppm (μg B117 equivalents/g). then a two phase decrease of the plasmatic concentration was observed with an initial half life of 1.2 hours and a second half life of 6 hours. within 24 hours after exposure, almost all B117 was removed from plasma and the concentration in plasma decreased to 0.071 ppm.",,"the AUC0-24h for plasma was 14.25 μg.h/g +/- 3.48. the maximum concentration in femur was observed at 0.5h accounting for 1.273 ppm equivalents/g. the depletion kinetics in femur was similar that observed in plasma, but a little bit slower with a initial half life of 3.3 hours and a terminal half life of 13 hours. within 24 hours after administration, the concentration in femur decreased to 0.203 ppm. it is assumed by the authors that the radioactivity determined in femur is predominately located in bone marrow and that it is correlated to the unchanged test item or its metabolites. ",,,,,,,,,,,,,,,,4.823 ppm (µg B117 equivalents/g),0.5,14.25 μg.h/g +/- 3.48,1.2,6,,40 mg/kg bw,single administration,,the authors concluded that B117 orally administered to mice results in a rapid and direct exposure of the bone marrow and the associated cellular components to the tested compound.,"mouse / hybrid nmri, spf-quality",,,,,,f,,15,,,,,,,,,91.6 ,04143CL2,"test substance: yellow (mip 2982) containing about 8% inorganic salts, organic impurities < 0.1%",> 99,3415121,2109 MBq/mmol; 57 mCi/mmol),40,mg/kg bw/d,,,,yes,,,,,,,plasma and femur.,"0.5, 1, 2, 4 and 24 hours after administration, 3 mice were sacrificed after anaesthesia with carbon dioxide and the concentration of the tested compound was determined in plasma and femur.",water (milliq),,this study gives evidence that B117 orally administered at the dose of 40 mg/kg bw reached the bone marrow and the target cells investigated in the micronucleus test. ,2004,yes,,"5, submission ii",this study was designed in order to investigate the bioavailability of B117 after oral exposure in order to support the results of the micronucleus tests. ,
basic yellow 87,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_081.pdf,in vivo,OECD 417,"the results show that after oral administration at the dose of 10 mg/kg bw, 6% of the administered test item was absorbed from the gastrointestinal tract into the systemic circulation. the oral absorption was fast with a maximum concentration in blood and plasma reached 1 hour after administration and accounting for 0.143 ppm and 0.283 ppm. then a two phase decrease of the concentration was observed with an initial half life of 7.5 and 5.6 hours in blood and plasma respectively and a second half life of 48 hours (blood) and 45 hours (plasma). within 96 hours after exposure, almost all B117 was removed from blood and plasma and the concentration decreased to values below or very closed to LOQ, i.e. 0.004 ppm (B117 equivalent).  the results show that after dermal administration at the dose of 0.2 mg/cm2 on the dorsal area of female rats (10 cm2) during 30 min followed by a skin washing, a very low fraction of the applied dose was absorbed from the skin into the systemic circulation, around 0.3 % after 30 min of exposure and remained constant within 96 hours. the concentrations of radioactivity for all blood sampling time point were below the limit of quantification. the amount of radioactivity determined in the stratum corneum was almost constant during the experimental period of 5 days, accounting for 2.56 and 2.79% of the dose. ",,the AUC0-24h for blood was 1.72 μg.h/g +/- 0.13 and 2.10 +/- 0.24 for plasma. only 0.1% of the dose was still remaining in tissue and carcass after 96 hours. the highest residue levels were found at 24 hours after oral administration in liver and kidney but due to the very low absorption were very low. ,,metabolites were examined by hplc analysis of urine and faeces extracts and revealed a simple metabolite pattern. the metabolite pattern in urine revealed 1 major and 10 minor metabolites fractions. the major fraction represented more than 50% of the radioactivity in urine or 2.5% of the dose and was shown to contain a glucuronic acid conjugate of B 117 formed after hydroxylation of the phenyl moiety and its structural isomer.,,,the excretion data show that the orally administered B117 was rapidly excreted predominately with faeces (89% of the dose was excreted in faeces after 96 hours versus 5.3% in urine). ,5.3%,89%,,,,,,,,,0.143 ppmin blood; 0.283 ppm in plasma,1,"1.72 µg.h/g +/- 0.13 for bloodd,  2.10 +/- 0.24 for plasma","7.5 in blood, 5.6 in plasma","48 in blood, 45 in plasma",,,,,"the high extent of faecal excretion, mainly as unchanged B117 confirms the low extent of absorption after oral exposure. after dermal exposure, B117 was also poorly absorbed. ",,,,,,,f,,17,,,,,,,,,91.6,04143CL2,"test substance: yellow (mip 2982) containing about 8% inorganic salts, organic impurities < 0.1%",> 99,3415121,2109 MBq/mmol; 57 mCi/mmol),10; 0.2 ,mg/kg bw/d oral exposure; mg/cm2 dermal exposure,,,,yes,,"yes, 10cm2",,,,,"urine, faeces, blood, plasma and organs/tissues at different time points after administration + skin wash and skin stripping","after 30 minutes dermal application, a skin wash and a skin stripping were performed to remove the remaining test item and stratum corneum from the application site. skin wash and skin strips were sampled for determining the amount of test item remaining. 3 female rats were sacrificed at 24, 48 and 96 hours after oral administration and 4 female rats at 24 and 96 hours after dermal administration.",water,,"due to the low absorption of B117 after oral exposure, the NOAEL of 10 mg/kg bw/d derived from the 13 week oral study in rats should be adjusted by a factor of 10 to be used in the MOS calculation. species difference between mouse and rats was noted. consequence to be further elaborated. ",2004,yes,,"6, submission ii","this study was designed in order to investigate the absorption, distribution, metabolism and excretion of B117 after oral and dermal exposure in female rats. the concentration of radioactivity was determined in urine, faeces, blood, plasma and organs/tissues at different time points after administration. amongst 17 tested animals, 9 were used in pral administration and 8 in dermal.",
